Contestant,Online Points,Jury Points
Sweden,62,202
Netherlands,333,192
Italy,199,171
Switzerland,201,106
Greece,92,101
Armenia,47,94
Russia,31,92
United Kingdom,24,85
France,18,79
Azerbaijan,53,72
Czech Republic,16,71
Malta,98,67
Cyprus,108,66
Denmark,5,66
Belgium,30,50
Norway,89,45
North Macedonia,30,43
Iceland,115,37
Estonia,13,35
Spain,26,34
Slovenia,55,33
Portugal,83,31
Latvia,5,29
Israel,9,29
Serbia,27,29
Hungary,7,28
Belarus,18,24
Romania,24,17
Australia,34,16
Finland,3,14
Ireland,13,14
Poland,21,14
Croatia,9,13
Moldova,7,13
Germany,23,9
Albania,52,6
Austria,9,6
Georgia,3,4
San Marino,30,0
Montenegro,6,0
Lithuania,5,0
