Contestant,Votes
Portugal,20375
Italy,13651
Belgium,7772
Bulgaria,7633
Netherlands,7237
Sweden,4793
Romania,3511
Greece,3408
Poland,3082
Hungary,2915
Croatia,2910
United Kingdom,2728
France,2651
Armenia,2591
Moldova,2314
Israel,2302
Azerbaijan,2021
Australia,1863
Ukraine,1675
Denmark,1664
Norway,1602
Serbia,1541
North Macedonia,1455
Estonia,1169
Germany,1093
Finland,1010
Ireland,1003
Lithuania,936
Cyprus,933
Spain,821
Belarus,809
Austria,805
Albania,756
Latvia,571
Switzerland,558
Iceland,542
Malta,496
Georgia,296
Slovenia,289
Montenegro,232
San Marino,183
Czech Republic,120
