Contestant,Points
Ukraine,144709
Spain,295886
Sweden,258014
Italy,180644
United Kingdom,166107
Serbia,131513
Greece,145219
Portugal,92078
Poland,115815
Netherlands,182969
Norway,120523
Armenia,71610
France,120217
Lithuania,64604
Finland,53670
Moldova,42664
Romania,66136
Azerbaijan,31063
Belgium,38398
Albania,90997
Estonia,68201
Australia,78663
Cyprus,87021
Malta,14395
Austria,84954
Czech Republic,101565
Iceland,30388
Israel,17304
Bulgaria,8728
Ireland,37563
Germany,26395
Latvia,20447
North Macedonia,13801
Slovenia,24215
Montenegro,14582
Switzerland,15434
Croatia,15740
San Marino,21428
Denmark,15255
Georgia,9771
