Contestant,Points
Israel,456
France,352
Finland,226
Australia,202
Czech Republic,181
Bulgaria,178
Belgium,143
Greece,119
Cyprus,106
Denmark,99
Sweden,91
Estonia,88
Italy,75
Austria,70
Germany,34
Belarus,28
Spain,26
Ukraine,19
North Macedonia,15
Norway,13
Poland,5
Ireland,5
Lithuania,5
Azerbaijan,5
United Kingdom,4
Latvia,3
Moldova,2
Serbia,2
Russia,1
Albania,0
Armenia,0
Croatia,0
Georgia,0
Hungary,0
Iceland,0
Malta,0
Montenegro,0
Portugal,0
Romania,0
San Marino,0
Slovenia,0
Switzerland,0
Netherlands,0
