Contestant,Votes
Israel,5336
Belarus,4884
Spain,4066
Albania,3463
Greece,3394
Cyprus,3309
Ukraine,3163
Portugal,2802
France,2784
Bulgaria,2663
Estonia,2560
Belgium,2517
Finland,2486
Italy,2343
Czech Republic,1869
Sweden,1442
Lithuania,1290
Poland,1159
Netherlands,1154
North Macedonia,1132
Australia,1120
Norway,1091
Denmark,1010
Ireland,893
Germany,853
Austria,845
Hungary,757
Armenia,659
United Kingdom,651
Malta,618
Moldova,615
Switzerland,598
Romania,559
Croatia,551
Slovenia,546
Azerbaijan,464
Russia,461
Latvia,429
Serbia,416
San Marino,196
Georgia,195
Montenegro,158
Iceland,157
